,Livsmedelsnamn,Livsmedelsnummer,Gruppering,Näringsämne,Värde
0,Nöt talg,1,"Fett, olja",Energi (kcal),656.0
1,Gris späck,2,"Fett, olja",Energi (kcal),763.0
2,Gris ister,3,"Fett, olja",Energi (kcal),884.0
3,Kokosfett,4,"Fett, olja",Energi (kcal),884.0
4,Matfettsblandning havssaltat fett 80% berikad typ Bregott,5,"Fett, olja",Energi (kcal),712.0
5,Matfettsblandning fett 60% berikad typ Bregott mellan,6,"Fett, olja",Energi (kcal),534.0
6,Flytande margarin fett 82% berikad typ Milda culinesse,10,"Fett, olja",Energi (kcal),725.0
7,Hushållsmargarin fett 80% berikad typ Melba,12,"Fett, olja",Energi (kcal),710.0
8,Hushållsmargarin fett 80% berikad typ Milda,13,"Fett, olja",Energi (kcal),712.0
9,Lättmargarin fett 38% berikad typ Becel,17,"Fett, olja",Energi (kcal),348.0
10,Lättmargarin fett 40% berikad typ Lätt & lagom,20,"Fett, olja",Energi (kcal),381.0
11,Majonnäs fett 90% hemlagad,21,Rätter,Energi (kcal),782.0
12,Sesamsås m. grädde,22,Rätter,Energi (kcal),361.0
13,Gravlaxsås hovmästarsås hemlagad,23,Rätter,Energi (kcal),438.0
14,Gravlaxsås kylvara,24,Rätter,Energi (kcal),555.0
15,Remouladsås,25,Rätter,Energi (kcal),707.0
16,Dressing vinägrett fett 45%,26,Rätter,Energi (kcal),406.0
17,Smör fett 80%,29,"Fett, olja",Energi (kcal),729.0
18,Smör extrasaltat fett 80%,30,"Fett, olja",Energi (kcal),728.0
19,Smör osaltat fett 80%,31,"Fett, olja",Energi (kcal),728.0
20,Druvkärnolja,33,"Fett, olja",Energi (kcal),884.0
21,Majsolja,34,"Fett, olja",Energi (kcal),884.0
22,Olivolja,35,"Fett, olja",Energi (kcal),884.0
23,Tistelolja,37,"Fett, olja",Energi (kcal),884.0
24,Sesamolja,38,"Fett, olja",Energi (kcal),884.0
25,Sojaolja,39,"Fett, olja",Energi (kcal),884.0
26,Solrosolja,40,"Fett, olja",Energi (kcal),884.0
27,Vetegroddsolja,41,"Fett, olja",Energi (kcal),884.0
28,Dressing konserv. fett ca 25%,42,Rätter,Energi (kcal),262.0
29,Dressing till sallad m. majonnäs fett ca 25% kylvara,45,Rätter,Energi (kcal),303.0
30,Dressing fett 0%,49,Rätter,Energi (kcal),60.0
31,Majonnäs fett 80%,50,Rätter,Energi (kcal),666.0
32,Gurkmajonnäs gurksallad gatukök,51,Rätter,Energi (kcal),333.0
33,Räkmajonnäs räksallad gatukök,52,Rätter,Energi (kcal),457.0
34,Majonnäs lätt fett 30%,53,Rätter,Energi (kcal),323.0
35,Mimosasallad,55,Rätter,Energi (kcal),147.0
36,Rödbetssallad m. gräddfil hemlagad,56,Rätter,Energi (kcal),64.0
37,Sallad m. skaldjur majonnäsdressing,57,Rätter,Energi (kcal),110.0
38,Bearnaisesås hemlagad,58,Rätter,Energi (kcal),510.0
39,Hollandaisesås hemlagad,59,Rätter,Energi (kcal),500.0
40,Rhode Islandsås hemlagad,60,Rätter,Energi (kcal),356.0
