nummer,namn,naringsnamn,gruppering,mangd,enhet
1,Nöt talg,"Zink, Zn","Övrigt fett (ister, talg, kokosfett)",0.1,mg
1,Nöt talg,Vitamin E,"Övrigt fett (ister, talg, kokosfett)",0.6,mg
1,Nöt talg,Vitamin D,"Övrigt fett (ister, talg, kokosfett)",0.1,µg
1,Nöt talg,Vitamin C,"Övrigt fett (ister, talg, kokosfett)",0.0,mg
1,Nöt talg,Vitamin B6,"Övrigt fett (ister, talg, kokosfett)",0.0,mg
1,Nöt talg,Vitamin B12,"Övrigt fett (ister, talg, kokosfett)",0.0,µg
1,Nöt talg,Vitamin A,"Övrigt fett (ister, talg, kokosfett)",22.0,RE/µg
1,Nöt talg,Vatten,"Övrigt fett (ister, talg, kokosfett)",21.7,g
1,Nöt talg,Tiamin,"Övrigt fett (ister, talg, kokosfett)",0.0,mg
1,Nöt talg,Tillsatt socker,"Övrigt fett (ister, talg, kokosfett)",0.0,g
1,Nöt talg,Fritt socker,"Övrigt fett (ister, talg, kokosfett)",0.0,g
1,Nöt talg,"Selen, Se","Övrigt fett (ister, talg, kokosfett)",1.0,µg
1,Nöt talg,Sackaros,"Övrigt fett (ister, talg, kokosfett)",0.0,g
1,Nöt talg,Riboflavin,"Övrigt fett (ister, talg, kokosfett)",0.0,mg
1,Nöt talg,Retinol,"Övrigt fett (ister, talg, kokosfett)",19.0,µg
1,Nöt talg,Protein,"Övrigt fett (ister, talg, kokosfett)",7.0,g
1,Nöt talg,Summa fleromättade fettsyror,"Övrigt fett (ister, talg, kokosfett)",2.8,g
1,Nöt talg,"Fosfor, P","Övrigt fett (ister, talg, kokosfett)",7.0,mg
1,Nöt talg,Niacinekvivalenter,"Övrigt fett (ister, talg, kokosfett)",1.28,NE/mg
1,Nöt talg,Niacin,"Övrigt fett (ister, talg, kokosfett)",0.0,mg
1,Nöt talg,"Salt, NaCl","Övrigt fett (ister, talg, kokosfett)",0.0,g
1,Nöt talg,"Natrium, Na","Övrigt fett (ister, talg, kokosfett)",10.0,mg
1,Nöt talg,Monosackarider,"Övrigt fett (ister, talg, kokosfett)",0.0,g
1,Nöt talg,"Sockerarter, totalt","Övrigt fett (ister, talg, kokosfett)",0.0,g
1,Nöt talg,Summa enkelomättade fettsyror,"Övrigt fett (ister, talg, kokosfett)",28.8,g
1,Nöt talg,"Magnesium, Mg","Övrigt fett (ister, talg, kokosfett)",3.0,mg
1,Nöt talg,Summa mättade fettsyror,"Övrigt fett (ister, talg, kokosfett)",35.8,g
1,Nöt talg,"Kolhydrater, tillgängliga","Övrigt fett (ister, talg, kokosfett)",0.0,g
1,Nöt talg,Kolesterol,"Övrigt fett (ister, talg, kokosfett)",109.0,mg
1,Nöt talg,"Kalium, K","Övrigt fett (ister, talg, kokosfett)",6.0,mg
1,Nöt talg,"Jod, I","Övrigt fett (ister, talg, kokosfett)",0.0,µg
1,Nöt talg,Fullkorn totalt,"Övrigt fett (ister, talg, kokosfett)",0.0,g
